"","level","param","fish","response"
"2","1.1","sgslough","S","total_pp"
"3","0.9","respslope","G","total_pp"
"4","32","resptempopt","G","total_pp"
"5","32","resptempopt","S","total_pp"
"6","34","resptempopt","G","total_pp"
"7","37","resptempmax","G","total_pp"
"8","0.9","aggamma","G","total_reef_pp"
"9","0.9","aggamma","S","total_reef_pp"
"10","1.1","respint","G","total_reef_pp"
"11","1.1","respint","S","total_reef_pp"
"12","0.9","respslope","G","total_reef_pp"
"13","0.9","respslope","S","total_reef_pp"
"14","0.9","resptemplo","G","total_reef_pp"
"15","0.9","resptemplo","S","total_reef_pp"
"16","32","resptempopt","G","total_reef_pp"
"17","32","resptempopt","S","total_reef_pp"
"18","34","resptempopt","G","total_reef_pp"
"19","34","resptempopt","S","total_reef_pp"
"20","39","resptempopt","G","total_reef_pp"
"21","39","resptempopt","S","total_reef_pp"
"22","37","resptempmax","G","total_reef_pp"
"23","37","resptempmax","S","total_reef_pp"
"24","38","resptempmax","S","total_reef_pp"
"25","1.1","sgslough","G","total_not_reef_pp"
"26","1.1","sgslough","S","total_not_reef_pp"
"27","32","resptempopt","G","total_not_reef_pp"
"28","1.1","sgslough","S","total_pppb"
"29","0.9","respslope","G","total_pppb"
"30","32","resptempopt","G","total_pppb"
"31","32","resptempopt","S","total_pppb"
"32","34","resptempopt","G","total_pppb"
"33","37","resptempmax","G","total_pppb"
"34","0.9","aggamma","G","reef_pppb"
"35","0.9","aggamma","S","reef_pppb"
"36","1.1","respint","G","reef_pppb"
"37","1.1","respint","S","reef_pppb"
"38","0.9","respslope","G","reef_pppb"
"39","0.9","respslope","S","reef_pppb"
"40","0.95","respslope","G","reef_pppb"
"41","0.9","resptemplo","G","reef_pppb"
"42","0.9","resptemplo","S","reef_pppb"
"43","32","resptempopt","G","reef_pppb"
"44","32","resptempopt","S","reef_pppb"
"45","34","resptempopt","G","reef_pppb"
"46","34","resptempopt","S","reef_pppb"
"47","39","resptempopt","G","reef_pppb"
"48","39","resptempopt","S","reef_pppb"
"49","37","resptempmax","G","reef_pppb"
"50","37","resptempmax","S","reef_pppb"
"51","38","resptempmax","G","reef_pppb"
"52","38","resptempmax","S","reef_pppb"
"53","1.1","sgslough","G","not_reef_pppb"
"54","1.1","sgslough","S","not_reef_pppb"
"55","32","resptempopt","G","not_reef_pppb"
