"","timestep","total_ag_production","total_bg_production","total_excretion","total_pp","reef_ag_production","reef_bg_production","total_reef_pp","not_reef_ag_production","not_reef_bg_production","total_not_reef_pp","total_fish_biomass","n_indiv","gs_ratio","replicate_num","temperature","total_pppb","reef_pppb","not_reef_pppb","starvation_deaths","natural_deaths","bgvmax","bgkm","bggamma","agvmax","agkm","aggamma","sgthres","sgslope","sgslough","diffusion","det_min","movement","popk","respint","respslope","resptemplo","resptempopt","resptempmax","id","behavior","comp"
"1",87600,0.371589755157519,0.449013956426283,81879.191788759,0.820603711583803,7.11198923356147,1.04937197798084,8.16136121154231,0.148674518170204,0.42915920581679,0.577833723986994,44070.5748799737,40,1,1,26,1.86202179984881e-05,0.00018518844452948,1.3111554037149e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"2",87600,0.364979839111382,0.447091399753069,79946.6459540574,0.812071238864451,6.93054049566801,1.04067679415532,7.97121728982333,0.147846787220299,0.427460630198633,0.575307417418932,42869.0278271577,40,1,2,26,1.89430756894842e-05,0.000185943504992981,1.34201181267393e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"3",87600,0.367495377476329,0.44797483907441,80676.7192648079,0.815470216550739,6.9968284412865,1.04420315407824,8.04103159536473,0.148253275324691,0.428256664125958,0.576509939450649,43336.5607798024,40,1,3,26,1.88171419669002e-05,0.000185548448023415,1.33030847182349e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"4",87600,0.371480974431992,0.449076581333625,81829.9732747978,0.820557555765617,7.10348026386029,1.04941482143862,8.15289508529891,0.148843544438497,0.42922248492668,0.578066029365177,44050.5724347195,40,1,4,26,1.8627625259164e-05,0.000185080343675012,1.31227813264365e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"5",87600,0.354869358396295,0.443912090622061,77017.2599120424,0.798781449018355,6.66227813318166,1.02431169112418,7.68658982430583,0.146273780892025,0.424717395276807,0.570991176168831,40996.8193011077,40,1,5,26,1.94839858953832e-05,0.000187492345878114,1.39276945358881e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"6",87600,0.360391096971839,0.445647300677935,78630.5504777254,0.806038397649773,6.8088311728481,1.03338889102739,7.84222006387549,0.147131400374029,0.426209794589486,0.573341194963516,42018.0641817286,40,1,6,26,1.91831397601672e-05,0.000186639251869334,1.3645112075697e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"7",87600,0.366821896438053,0.447710379354348,80498.4178196634,0.814532275792401,6.9806908456541,1.0431223540349,8.023813199689,0.148091216017514,0.428019202018902,0.576110418036416,43206.4581966036,40,1,7,26,1.88520954919751e-05,0.000185708654090044,1.3333895951733e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"8",87600,0.369783432271201,0.448478781042418,81281.1859805197,0.818262213313618,7.05543922123472,1.04746304209862,8.10290226333335,0.148678652148389,0.428669462776813,0.577348114925202,43737.6042739813,40,1,8,26,1.87084369822329e-05,0.000185261684946782,1.32002683848108e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"9",87600,0.371673558294553,0.449141419178871,81991.4258297456,0.820814977473424,7.1171129544824,1.04916686331045,8.16627981779286,0.148591643579783,0.429297667409327,0.57788931098911,44089.684677557,40,1,9,26,1.86169391656195e-05,0.000185219737394714,1.31071318657734e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"10",87600,0.367218477936837,0.44764345224544,80566.8953476803,0.814861930182276,6.99288519155457,1.04362253703025,8.03650772858482,0.148097627548487,0.427933519718451,0.576031147266938,43258.2901636683,40,1,10,26,1.88371275679005e-05,0.00018577959734836,1.33160868145162e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
